height,next_block_mean_fee,hour_mean_fee,six_hour_mean_fee,day_mean_fee,time_btwn_blocks,next_block_sat/vB,hour_block_sat/vB,six_hour_block_sat/vB,day_block_sat/vB,mempool_mean_fee,mempool_mean_vBytes,month,day,hour,minute
662744,32890.47872340426,4929.778967867575,5845.253263707572,7202.318704284222,149.29609417915344,26.17848970251716,2.2700892857142856,2.486522911051213,2.4888392857142856,7.047602766413404e-05,107.38057179037601,12,23,23,15
662745,27949.940110719683,13896.564885496186,1.0,1.0,2359.8765189647675,29.3330078125,29.453789279112755,1.0,1.0,0.00015338730544747084,88.08948547804336,12,23,23,54
662746,32284.000000000004,15298.39014906027,1.0,1.0,82.3320140838623,27.0,13.368040674603176,1.0,1.0,8.831755892999029e-05,102.86320958771077,12,23,23,55
662747,20519.602616516764,4456.980146290492,1.0,1.0,1462.1248319149017,36.48613756613757,35.52650176678445,1.0,1.0,8.688404428161836e-05,94.82894831156419,12,24,0,20
662748,32108.046324269893,7315.999153498871,1.0,1.0,348.2762498855591,26.576457645764574,3.32010582010582,1.0,1.0,8.482256615815692e-05,94.80978946139476,12,24,0,26
662749,31539.7372611465,5168.253387037714,7018.63524590164,6034.895776193089,165.61610102653503,22.87895877550174,2.285526315789474,1.9999999999999998,2.524774774774775,7.337480397192262e-05,99.0281950864578,12,24,0,28
662751,1.0,19646.23922734027,5071.146401985111,5987.5349862258945,539.9682860374451,22.87895877550174,2.0216411181244363,2.0209424083769636,2.0112163976523574,8.498144772603732e-05,101.67998731654285,12,24,0,37
662752,32468.077669902912,12566.21875,5917.479740680713,5423.303013075611,552.5035970211029,20.804154302670625,9.598811292719168,2.0,2.0,0.00010707893281837585,105.4925322695396,12,24,0,47
662753,26147.20288248337,4712.922600619195,6078.272327964861,5326.719977233922,486.4906840324402,26.57104557640751,2.0859375,2.0,2.0,9.408990613141602e-05,111.38639404833235,12,24,0,55
662754,25949.634703196345,10827.996539792388,1.0,1.0,1382.4550230503082,29.48516579406632,32.96012971747618,1.0,1.0,0.00011829492803636057,100.24586103863311,12,24,1,18
662755,35573.94888178914,9342.893474842767,6147.126676602086,1.0,573.6066479682922,26.857442468920894,8.136125654450263,1.9999999999999998,1.0,0.00010963438491738916,100.96028545722231,12,24,1,27
662756,24972.182640144667,6551.880027500861,1.0,4831.428320655355,157.88844990730286,23.25,2.083333333333333,1.0,1.106194690265487,6.772013542219862e-05,103.46622632324305,12,24,1,30
662757,30989.050925925923,7611.140313390315,6244.70510948905,4799.6906976744185,215.44447302818298,21.307045079065375,2.0,1.994584837545126,1.9948783610755443,7.526346383409205e-05,113.7172559433485,12,24,1,33
662758,23184.62273770074,8426.328588374852,5372.47270471464,4460.726943942133,1157.9852950572968,26.468266161028993,18.052023121387283,1.7570501455792904,1.2536003600360035,0.00011129845622668465,94.46555282165251,12,24,1,53
662807,39986.27529114634,1.0,44714.722222222226,33165.95161290323,36310.60007596016,34.6015625,1.0,37.60360863095238,35.2750335774438,0.0003997492535463435,40.1240256163063,12,24,11,58
662808,44394.572488584476,35772.69614474129,45956.78787878789,33317.230769230766,470.4566240310669,34.20403587443946,31.207702888583217,30.91604995374653,31.25925925925926,0.00037783229701952723,44.584985226104834,12,24,12,6
662809,40878.43423597679,33644.71065440779,1.0,1.0,945.2967638969421,31.64,31.250000000000004,1.0,1.0,0.00036270438480027475,44.10713917820762,12,24,12,22
662810,39652.06711675933,33846.32913239586,42986.482758620696,37561.01694915254,687.8950901031494,30.673177083333332,27.936964943694512,27.403914819913844,26.674999999999997,0.0003533519735804416,42.77971707413249,12,24,12,33
662811,43332.12173913043,31994.94564670357,39643.08333333334,33042.98275862069,196.4886498451233,30.667088607594938,27.05907115370018,27.07263020840412,27.313320825515948,0.00032780909355026154,44.71042998256827,12,24,12,36
662823,56097.81717263253,53902.692307692305,41943.13513513513,1.0,13491.20639204979,37.75,32.39333333333333,32.58783783783784,1.0,0.0005596808822872459,44.25576278758097,12,24,16,21
662824,30028.88732394366,37832.60990025859,35307.23333333334,1.0,40.85710406303406,34.510389238694906,30.696562032884906,30.26666666666667,1.0,0.00037608313034188034,40.95202991452991,12,24,16,22
662825,41809.22392886015,29050.849222797926,36928.5,1.0,769.6820158958435,33.91752577319588,29.75,29.630821042281216,1.0,0.0003622187059620596,37.895709123757904,12,24,16,35
662826,35758.3745318352,30348.19076923077,43026.85714285714,1.0,81.88411521911621,32.651041666666664,29.365106502242153,29.36037735849057,1.0,0.00030911196806664355,41.52532106907324,12,24,16,36
662827,37393.49831649831,29246.508660752002,1.0,1.0,853.9234299659729,32.86616791354946,30.061793298481547,1.0,1.0,0.0003360423678479509,40.654835676103744,12,24,16,50
662828,32459.67529316619,26217.14044213264,1.0,1.0,1772.3384218215942,41.807012721300524,41.08042327741231,1.0,1.0,0.00029024867971977727,41.27053619543741,12,24,17,20
662829,47018.62189388852,26984.69434070669,25229.481509433965,1.0,1318.2042210102081,33.683944374209865,28.25,25.470000000000002,1.0,0.0003435049331963001,43.39295991778006,12,24,17,42
662830,44151.11244019139,28307.679495990833,25062.456505576214,1.0,162.75750207901,32.479473459917614,28.000000000000004,27.749324324324323,1.0,0.00028676108028720626,44.92331919060053,12,24,17,44
662832,1.0,29773.54530638852,25668.523713420793,1.0,99.6628680229187,32.479473459917614,29.338368580060422,26.89387144992526,1.0,0.0002816242594059406,48.89414851485149,12,24,17,46
662833,75264.66146993318,25718.600736454497,25360.032532920213,1.0,349.2896559238434,32.29159420556563,29.568227738490407,26.68587783392882,1.0,0.0003381496561977328,51.106049061512735,12,24,17,52
662834,65813.73048287598,31496.925650557623,1.0,1.0,2088.0984179973602,37.194736842105264,36.611901620806634,1.0,1.0,0.00046232445687244576,52.29046569154657,12,24,18,27
662835,34985.216730038024,56763.41046473838,25375.59264599856,1.0,122.97991394996643,32.33421933143625,30.5,25.111607142857142,1.0,0.0003858818384215438,53.70356285828556,12,24,18,29
662837,1.0,44396.88786885246,25229.686978683967,1.0,54.715973138809204,32.33421933143625,26.68381240544629,25.61573373676248,1.0,0.00030233963876048623,53.07329652456771,12,24,18,30
662838,39604.14033149171,32180.618908382072,23819.040625,1.0,356.7559480667114,32.26928895612708,31.743567753001713,25.000000000000004,1.0,0.00028013591084204733,52.141753806640985,12,24,18,36
662839,46082.51335311572,34976.82270168856,23181.390728476825,1.0,203.12403392791748,32.26905829596412,31.22245532337368,24.623529411764704,1.0,0.00028403107196122297,54.99177386278896,12,24,18,39
662840,39507.00729927008,35570.33396226414,24438.15974282888,1.0,148.5320439338684,32.25390625,31.853932584269664,26.683109118086694,1.0,0.000268641073219659,56.26370110330994,12,24,18,41
662841,49058.21337579618,29307.027368421048,23246.703163686383,1.0,290.8355350494385,32.276853252647506,32.353828306264504,22.802690582959645,1.0,0.0002727546686365555,58.99328303081469,12,24,18,46
662842,36560.047832585944,29393.143847487,22345.971493084955,1.0,546.2715029716492,32.285714285714285,31.618569636135508,22.382642754018743,1.0,0.00026575479113228283,54.56196408941003,12,24,18,55
662843,20269.322491730985,26661.666666666664,1.0,1.0,1001.0999491214752,41.48983364140481,40.74330357142857,1.0,1.0,0.0002208060374441773,73.16937478529715,12,24,19,12
662844,17078.65142857143,17867.215121951223,22493.099739809193,1.0,108.91201591491699,32.188481675392666,21.1875,21.111114221724524,1.0,0.00020355367853116442,77.87710984055404,12,24,19,14
662845,33487.395906690144,13786.617831893163,21780.69574278059,1.0,2010.1151320934296,32.304825877520585,32.16798846431146,20.61855670103093,1.0,0.0002492380256483874,114.74067374868406,12,24,19,47
662846,48143.53682896379,14778.387214026085,21958.801109813085,1.0,397.9491319656372,32.30105900151286,20.893229166666664,20.099014320252927,1.0,0.0002054239777578073,130.18011121096382,12,24,19,54
662847,41882.6018766756,11978.76539452119,20614.54849705609,1.0,388.63820791244507,32.15758293838862,19.626315789473683,19.00111607142857,1.0,0.00018065123241145075,137.64663694808345,12,24,20,1
662848,199002.67701863352,11244.690482016149,19547.581818181818,1.0,125.3604040145874,30.67614803836507,18.331111111111113,18.115942028985504,1.0,0.000226636810817873,150.84984975176377,12,24,20,3
662849,34495.515837104074,10539.34227467811,16438.00167064439,1.0,118.88429188728333,30.715341959334562,17.296246648793566,17.54540992384579,1.0,0.0001470330747884002,152.09370403774108,12,24,20,5
662850,37977.25852782765,14201.2169159954,13490.98064787547,1.0,292.44045209884644,30.886061946902654,16.395089285714285,16.276264122347754,1.0,0.0001560096041991772,156.22283657256347,12,24,20,10
662851,45594.91509433961,27524.55483870968,11872.885471537807,1.0,57.24805498123169,26.683109118086694,18.63091023522933,15.133038348082597,1.0,0.0001355388940520446,166.73052199504338,12,24,20,10
662852,39163.54777070064,20639.939560439565,11291.880216518246,1.0,697.2242300510406,31.161325744509597,29.618362831858406,14.701658700487435,1.0,0.00016991891938707528,149.94171885409727,12,24,20,22
